S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,NABA CHARAN MAJHI,Bharatiya Janata Party,580579,5392,585971,49.91,Odisha,Mayurbhanj,5
2,SUDAM MARNDI,Biju Janata Dal,364745,1892,366637,31.23,Odisha,Mayurbhanj,5
3,ANJANI SOREN,Jharkhand Mukti Morcha,134713,686,135399,11.53,Odisha,Mayurbhanj,5
4,RABINDRA NATH SINGH,Independent,9282,42,9324,0.79,Odisha,Mayurbhanj,5
5,ASHOK KUMAR SING,Independent,8918,35,8953,0.76,Odisha,Mayurbhanj,5
6,JATIA SAWAYAN,Bahujan Samaj Party,8457,45,8502,0.72,Odisha,Mayurbhanj,5
7,SANTILATA CHATTAR,Independent,8448,29,8477,0.72,Odisha,Mayurbhanj,5
8,PITAMBAR NAIK,Socialist Unity Centre Of India (COMMUNIST),8070,44,8114,0.69,Odisha,Mayurbhanj,5
9,ANTA ALOK BASKEY,AJSU Party,5386,8,5394,0.46,Odisha,Mayurbhanj,5
10,BAJUN HANSDA,Independent,5304,18,5322,0.45,Odisha,Mayurbhanj,5
11,KANHU CHARAN TUDU,Independent,5103,35,5138,0.44,Odisha,Mayurbhanj,5
12,SUKANTA HEMBRAM,Bharatiya Nyay-Adhikar Raksha Party,3636,20,3656,0.31,Odisha,Mayurbhanj,5
13,GURU  CHARAN HEMBRAM,Bharatheeya Jawan Kisan Party,3175,35,3210,0.27,Odisha,Mayurbhanj,5
14,NOTA,None of the Above,19853,100,19953,1.7,Odisha,Mayurbhanj,5
