S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,DR. PRADEEP KUMAR PANIGRAHY,Bharatiya Janata Party,510585,2517,513102,49.2,Odisha,Berhampur
2,BHRUGU BAXIPATRA,Biju Janata Dal,346780,846,347626,33.33,Odisha,Berhampur
3,RASMI RANJAN PATNAIK,Indian National Congress,129096,648,129744,12.44,Odisha,Berhampur
4,V CHANDRA SHEKHAR,Independent,8376,3,8379,0.8,Odisha,Berhampur
5,BHASKAR CHAUDHORY,Bahujan Samaj Party,5198,13,5211,0.5,Odisha,Berhampur
6,SOMANATH BEHERA,Socialist Unity Centre Of India (COMMUNIST),5121,14,5135,0.49,Odisha,Berhampur
7,SIRIN TAMMANA,Independent,5069,9,5078,0.49,Odisha,Berhampur
8,BOMMALI KANTA RAO,Naba Bharata Nirmana Seva Party,4190,11,4201,0.4,Odisha,Berhampur
9,RAM SANKAR SATAPATHY,Independent,3869,2,3871,0.37,Odisha,Berhampur
10,RAJENDRA DALABEHERA,Bharatiya Bikash Parishad,2335,8,2343,0.22,Odisha,Berhampur
11,SANTOSH KUMAR SAHU,All India Forward Bloc,2284,7,2291,0.22,Odisha,Berhampur
12,NOTA,None of the Above,15903,39,15942,1.53,Odisha,Berhampur
