S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,HARISH CHANDRA MEENA,Indian National Congress,617137,6626,623763,50.85,Rajasthan,TONK-SAWAI MADHOPUR,12
2,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,553309,5505,558814,45.56,Rajasthan,TONK-SAWAI MADHOPUR,12
3,PRAHALAD MALI,Bahujan Samaj Party,13089,55,13144,1.07,Rajasthan,TONK-SAWAI MADHOPUR,12
4,GANESH MEENA,Indian Peoples Green Party,7425,8,7433,0.61,Rajasthan,TONK-SAWAI MADHOPUR,12
5,MAKHAN LAL MEENA,Independent,3314,10,3324,0.27,Rajasthan,TONK-SAWAI MADHOPUR,12
6,JASRAM MEENA,Independent,3044,1,3045,0.25,Rajasthan,TONK-SAWAI MADHOPUR,12
7,VIJENDRA,Aazad Samaj Party (Kanshi Ram),2669,28,2697,0.22,Rajasthan,TONK-SAWAI MADHOPUR,12
8,GIRRAJ PRASAD MEENA,Independent,2512,9,2521,0.21,Rajasthan,TONK-SAWAI MADHOPUR,12
9,JAGDISH PRASAD MEENA,Bharat Adivasi Party,1366,7,1373,0.11,Rajasthan,TONK-SAWAI MADHOPUR,12
10,DULI CHAND SAINI,Rajasthan Raj Party,1253,11,1264,0.1,Rajasthan,TONK-SAWAI MADHOPUR,12
11,JAGDISH PRASAD SHARMA,Bheem Tribal Congress,1023,6,1029,0.08,Rajasthan,TONK-SAWAI MADHOPUR,12
12,NOTA,None of the Above,8105,72,8177,0.67,Rajasthan,TONK-SAWAI MADHOPUR,12
