S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,851020,13928,864948,60.68,Andhra Pradesh,Guntur
2,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,513563,6690,520253,36.5,Andhra Pradesh,Guntur
3,JANGALA AJAY KUMAR,Communist Party of India,8317,320,8637,0.61,Andhra Pradesh,Guntur
4,SIVAREDDY. ENDREDDY,Navataram Party,5628,1,5629,0.39,Andhra Pradesh,Guntur
5,TENALI PRAKASH,Bahujan Samaj Party,4172,100,4272,0.3,Andhra Pradesh,Guntur
6,SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party,1959,5,1964,0.14,Andhra Pradesh,Guntur
7,SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party,1748,5,1753,0.12,Andhra Pradesh,Guntur
8,UMAR BHASHA SHAIK,Jana Sahayaka Sakthi,1273,2,1275,0.09,Andhra Pradesh,Guntur
9,SYED. SAIDA,Navarang Congress Party,1216,6,1222,0.09,Andhra Pradesh,Guntur
10,AMBATI CHALAMAIAH,Pyramid Party of India,1029,2,1031,0.07,Andhra Pradesh,Guntur
11,PILLI BABU RAO,Independent,688,4,692,0.05,Andhra Pradesh,Guntur
12,HARI VENKATA SATISH  KURNALA,Jai Bharat National Party,540,2,542,0.04,Andhra Pradesh,Guntur
13,VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,461,-,461,0.03,Andhra Pradesh,Guntur
14,EMANI. CHANDRASEKHAR RAO,Navodayam Party,409,5,414,0.03,Andhra Pradesh,Guntur
15,SHAIK. KHAJAVALI,Independent,387,4,391,0.03,Andhra Pradesh,Guntur
16,CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,374,4,378,0.03,Andhra Pradesh,Guntur
17,KANNEBOYINA VAMSI KRISHNA YADAV,Independent,368,7,375,0.03,Andhra Pradesh,Guntur
18,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,353,5,358,0.03,Andhra Pradesh,Guntur
19,GAYATRI AUDHIPUDI,Independent,350,7,357,0.03,Andhra Pradesh,Guntur
20,ASHOK ANAND GALI,Independent,335,-,335,0.02,Andhra Pradesh,Guntur
21,SHAIK ASLAM AKTHER,Independent,334,1,335,0.02,Andhra Pradesh,Guntur
22,PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party,328,4,332,0.02,Andhra Pradesh,Guntur
23,AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United),308,4,312,0.02,Andhra Pradesh,Guntur
24,DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),306,4,310,0.02,Andhra Pradesh,Guntur
25,BURAGA RATNAM,Loktantrik Janta Dal,304,12,316,0.02,Andhra Pradesh,Guntur
26,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,268,-,268,0.02,Andhra Pradesh,Guntur
27,SIVA PARVATHI,Independent,262,4,266,0.02,Andhra Pradesh,Guntur
28,BOMMASANI MUTYALA RAO,All Peoples Party,200,7,207,0.01,Andhra Pradesh,Guntur
29,SRIKRISHNA AKKISETTI,Independent,179,-,179,0.01,Andhra Pradesh,Guntur
30,MADAVARAPU NAGA RAJU,Independent,172,-,172,0.01,Andhra Pradesh,Guntur
31,NOTA,None of the Above,7210,177,7387,0.52,Andhra Pradesh,Guntur
