S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,VENKATESAN S,Communist Party of India  (Marxist),428201,2122,430323,43.6,Tamil Nadu,MADURAI
2,RAAMA SREENIVASAN,Bharatiya Janata Party,219035,1879,220914,22.38,Tamil Nadu,MADURAI
3,SARAVANAN P,All India Anna Dravida Munnetra Kazhagam,204163,641,204804,20.75,Tamil Nadu,MADURAI
4,SATHYADEVI T,Naam Tamilar Katchi,92386,493,92879,9.41,Tamil Nadu,MADURAI
5,VELMURUGAN A,Bharatiya Praja Aikyata Party,5966,43,6009,0.61,Tamil Nadu,MADURAI
6,VENKATESAN M,Independent,2497,8,2505,0.25,Tamil Nadu,MADURAI
7,RAMAR PANDI T,Bahujan Samaj Party,2489,17,2506,0.25,Tamil Nadu,MADURAI
8,SHANMUGA SUNDARAM A,United Republican Party of India,2338,11,2349,0.24,Tamil Nadu,MADURAI
9,PERIYASAMY K,Independent,1966,2,1968,0.2,Tamil Nadu,MADURAI
10,PANDIYAN S,Bahujan Dravida Party,1559,3,1562,0.16,Tamil Nadu,MADURAI
11,BOOMINATHAN C,Independent,1211,2,1213,0.12,Tamil Nadu,MADURAI
12,MUTHUPANDI S,Independent,1206,1,1207,0.12,Tamil Nadu,MADURAI
13,RAMANATHAN S,Independent,1191,3,1194,0.12,Tamil Nadu,MADURAI
14,VENKATESH S,Independent,1041,5,1046,0.11,Tamil Nadu,MADURAI
15,SANKARAPANDI M.P.,Independent,1025,4,1029,0.1,Tamil Nadu,MADURAI
16,GOPISON M.M.,Independent,942,4,946,0.1,Tamil Nadu,MADURAI
17,SARAVANAN K.K.,Independent,843,1,844,0.09,Tamil Nadu,MADURAI
18,GOPALAKRISHNAN S,Independent,745,1,746,0.08,Tamil Nadu,MADURAI
19,CHANDRASEKAR N,Independent,708,3,711,0.07,Tamil Nadu,MADURAI
20,PANDIYAN P,Socialist Unity Centre Of India (COMMUNIST),576,2,578,0.06,Tamil Nadu,MADURAI
21,AVADAINATHAN V,Independent,461,1,462,0.05,Tamil Nadu,MADURAI
22,NOTA,None of the Above,11074,100,11174,1.13,Tamil Nadu,MADURAI
