S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,SELVAM. G,Dravida Munnetra Kazhagam,582978,3066,586044,46.53,Tamil Nadu,KANCHEEPURAM
2,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,362991,1580,364571,28.94,Tamil Nadu,KANCHEEPURAM
3,JOTHI. V,Pattali Makkal Katchi,163792,1139,164931,13.09,Tamil Nadu,KANCHEEPURAM
4,SANTHOSH KUMAR. V,Naam Tamilar Katchi,109858,414,110272,8.75,Tamil Nadu,KANCHEEPURAM
5,ILAYARAJA. S,Bahujan Samaj Party,5243,21,5264,0.42,Tamil Nadu,KANCHEEPURAM
6,VENKATESAN. K,Independent,2798,9,2807,0.22,Tamil Nadu,KANCHEEPURAM
7,NARESH BHARATHI. S,Independent,2499,12,2511,0.2,Tamil Nadu,KANCHEEPURAM
8,ELANGOVAN. M,Independent,1874,7,1881,0.15,Tamil Nadu,KANCHEEPURAM
9,SURYA. A,Independent,1673,29,1702,0.14,Tamil Nadu,KANCHEEPURAM
10,RAMESH. S,Independent,1317,1,1318,0.1,Tamil Nadu,KANCHEEPURAM
11,SELVAM. T,Independent,1295,17,1312,0.1,Tamil Nadu,KANCHEEPURAM
12,NOTA,None of the Above,16811,154,16965,1.35,Tamil Nadu,KANCHEEPURAM
