S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,497083,3016,500099,43.86,Tamil Nadu,ARANI
2,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,289650,1683,291333,25.55,Tamil Nadu,ARANI
3,DR GANESH KUMAR A ME PHD,Pattali Makkal Katchi,234538,2033,236571,20.75,Tamil Nadu,ARANI
4,"BAKIYALAKSHMI, K.",Naam Tamilar Katchi,65981,759,66740,5.85,Tamil Nadu,ARANI
5,"MANIGANDAN, V.",Independent,4787,21,4808,0.42,Tamil Nadu,ARANI
6,"GANESH KUMAR, U.",Independent,3809,3,3812,0.33,Tamil Nadu,ARANI
7,DURAI  M,Bahujan Samaj Party,3635,50,3685,0.32,Tamil Nadu,ARANI
8,"GAJENDRAN, J.",Independent,3393,7,3400,0.3,Tamil Nadu,ARANI
9,"KARVANNAN, K.",Independent,3032,4,3036,0.27,Tamil Nadu,ARANI
10,"GAJENDIRAN, E.",Independent,2612,1,2613,0.23,Tamil Nadu,ARANI
11,"KOTTAI VENKATESAN, M.",Independent,1893,15,1908,0.17,Tamil Nadu,ARANI
12,"SENTHIL KUMAR, D.",Independent,1469,6,1475,0.13,Tamil Nadu,ARANI
13,"SEKAR, N.",Independent,1397,3,1400,0.12,Tamil Nadu,ARANI
14,SAKTHIVEL A,Thakkam Katchi,1174,12,1186,0.1,Tamil Nadu,ARANI
15,"GANESH, P.",Independent,978,2,980,0.09,Tamil Nadu,ARANI
16,NAGARAJAN P,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,921,6,927,0.08,Tamil Nadu,ARANI
17,CAPTAIN SETTU M,Viro Ke Vir Indian Party,881,41,922,0.08,Tamil Nadu,ARANI
18,"JAISANKAR, M.",Independent,836,4,840,0.07,Tamil Nadu,ARANI
19,EZHIL ARASU M,Independent,741,12,753,0.07,Tamil Nadu,ARANI
20,BABU N,Independent,669,5,674,0.06,Tamil Nadu,ARANI
21,"DURUGAN, M.",United Republican Party of India,596,8,604,0.05,Tamil Nadu,ARANI
22,MOHMMAD SIDDIQ M H,Independent,525,3,528,0.05,Tamil Nadu,ARANI
23,"DHARANI, D.",Independent,466,2,468,0.04,Tamil Nadu,ARANI
24,"MANAVALAN, A.",Anna MGR Dravida Makkal Kalgam,433,47,480,0.04,Tamil Nadu,ARANI
25,"ARUL, M.",Independent,429,81,510,0.04,Tamil Nadu,ARANI
26,"MURUGESAN, D.",Independent,398,5,403,0.04,Tamil Nadu,ARANI
27,"ELLAPPAN, R.",Independent,375,3,378,0.03,Tamil Nadu,ARANI
28,"FEROZKHAN, A.",Independent,295,3,298,0.03,Tamil Nadu,ARANI
29,"DHAMODHARAN, G.",Independent,237,5,242,0.02,Tamil Nadu,ARANI
30,NOTA,None of the Above,9084,104,9188,0.81,Tamil Nadu,ARANI
