S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,501851,3233,505084,43.28,Tamil Nadu,CHIDAMBARAM,27
2,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,399502,2028,401530,34.4,Tamil Nadu,CHIDAMBARAM,27
3,KARTHIYAYINI P,Bharatiya Janata Party,166114,2379,168493,14.44,Tamil Nadu,CHIDAMBARAM,27
4,JANCIRANI R,Naam Tamilar Katchi,65116,473,65589,5.62,Tamil Nadu,CHIDAMBARAM,27
5,NEELAMEGAM K,Bahujan Samaj Party,3177,26,3203,0.27,Tamil Nadu,CHIDAMBARAM,27
6,TAMILVENDHAN P,Independent,3043,19,3062,0.26,Tamil Nadu,CHIDAMBARAM,27
7,PERUMAL S,Independent,2231,8,2239,0.19,Tamil Nadu,CHIDAMBARAM,27
8,VETTRIVEL G,Independent,2039,2,2041,0.17,Tamil Nadu,CHIDAMBARAM,27
9,ARCHUNAN M A T,Independent,1833,3,1836,0.16,Tamil Nadu,CHIDAMBARAM,27
10,DHAMODHARAN S,Naadaalum Makkal Katchi,1628,14,1642,0.14,Tamil Nadu,CHIDAMBARAM,27
11,RATHA G,Independent,1273,7,1280,0.11,Tamil Nadu,CHIDAMBARAM,27
12,RAJAMANICKAM C,Independent,1068,19,1087,0.09,Tamil Nadu,CHIDAMBARAM,27
13,CHINNADURAI A,Independent,628,10,638,0.05,Tamil Nadu,CHIDAMBARAM,27
14,ELAVARASAN C,Independent,584,2,586,0.05,Tamil Nadu,CHIDAMBARAM,27
15,NOTA,None of the Above,8631,130,8761,0.75,Tamil Nadu,CHIDAMBARAM,27
