S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,EATALA RAJENDER,Bharatiya Janata Party,980712,10330,991042,51.25,Telangana,Malkajgiri
2,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,593337,6230,599567,31.0,Telangana,Malkajgiri
3,RAGIDI LAXMA REDDY,Bharat Rashtra Samithi,298697,1789,300486,15.54,Telangana,Malkajgiri
4,THALLADA VENKATESWARLU,Independent,6784,16,6800,0.35,Telangana,Malkajgiri
5,ANITHA REDDY SHEELAM,Bahujan Samaj Party,4718,61,4779,0.25,Telangana,Malkajgiri
6,VAISHNAVI PRASAD,Independent,1894,18,1912,0.1,Telangana,Malkajgiri
7,PAREE (PESARIKAYALA PAREEKSHITH REDDY),Independent,1831,4,1835,0.09,Telangana,Malkajgiri
8,DONTHULA BIKSHAPATHI,Independent,1813,8,1821,0.09,Telangana,Malkajgiri
9,BHARATHA SUDARSHAN,Independent,1639,4,1643,0.08,Telangana,Malkajgiri
10,APPARAO KONDA,Rashtra Samanya Praja Party,1157,5,1162,0.06,Telangana,Malkajgiri
11,MOUTAM SAMPATH,Independent,1135,2,1137,0.06,Telangana,Malkajgiri
12,RAJESH MISHRA,Independent,1110,-,1110,0.06,Telangana,Malkajgiri
13,BANJAPALLY SUDHA RANI,Independent,1064,5,1069,0.06,Telangana,Malkajgiri
14,CHIRIPI REDDY RAMESH,Independent,986,1,987,0.05,Telangana,Malkajgiri
15,PEDDAPALLI SANDEEP,Bharathiya YuvaKula Dalam,930,3,933,0.05,Telangana,Malkajgiri
16,BOIN DURGA PRASAD YADAV,Dharma Samaj Party,778,11,789,0.04,Telangana,Malkajgiri
17,CHAMAKURA RAJAIAH ALIAS PIDIKILI RAJU,Social Justice Party of India,722,1,723,0.04,Telangana,Malkajgiri
18,NARRA SUKHENDER REDDY,Vidhyarthula Rajakiya Party,690,4,694,0.04,Telangana,Malkajgiri
19,KANTE SAYANNA,Independent,539,-,539,0.03,Telangana,Malkajgiri
20,JUVVA PHANI KUMAR CHOWDARY,Jai Bharat National Party,505,3,508,0.03,Telangana,Malkajgiri
21,YADISHWAR NAKKA,Telangana Republican Party,492,2,494,0.03,Telangana,Malkajgiri
22,R. SUBENDER SINGH,Independent,446,1,447,0.02,Telangana,Malkajgiri
23,NOTA,None of the Above,13206,160,13366,0.69,Telangana,Malkajgiri
