S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,AJENDRA SINGH LODHI,Samajwadi Party,490003,680,490683,44.0,Uttar Pradesh,Hamirpur,47
2,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,487373,681,488054,43.76,Uttar Pradesh,Hamirpur,47
3,NIRDOSH KUMAR DIXIT,Bahujan Samaj Party,94564,132,94696,8.49,Uttar Pradesh,Hamirpur,47
4,ANUPAM KUMAR TRIPATHI,Bhartiya Shakti Chetna Party,6401,6,6407,0.57,Uttar Pradesh,Hamirpur,47
5,BRIJESH KUMAR PAL,Rashtra Uday Party,4516,11,4527,0.41,Uttar Pradesh,Hamirpur,47
6,BHUVANENDRA NARAYAN SINGH,Independent,4315,5,4320,0.39,Uttar Pradesh,Hamirpur,47
7,SANTOSH KUMAR,Independent,3776,1,3777,0.34,Uttar Pradesh,Hamirpur,47
8,RAJESH SINGH,Independent,3605,2,3607,0.32,Uttar Pradesh,Hamirpur,47
9,SURESH KUMAR,Eklavya Samaj Party,2181,-,2181,0.2,Uttar Pradesh,Hamirpur,47
10,SANJIV KUMAR,Spashtwadi Jan Aadhar Party,2003,-,2003,0.18,Uttar Pradesh,Hamirpur,47
11,DHARMRAJ,Al-Hind Party,1589,2,1591,0.14,Uttar Pradesh,Hamirpur,47
12,NOTA,None of the Above,13442,11,13453,1.21,Uttar Pradesh,Hamirpur,47
