S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,BABU SINGH KUSHWAHA,Samajwadi Party,506076,3054,509130,46.21,Uttar Pradesh,Jaunpur,73
2,KRIPASHANKAR SINGH,Bharatiya Janata Party,408512,1283,409795,37.19,Uttar Pradesh,Jaunpur,73
3,SHYAM SINGH YADAV,Bahujan Samaj Party,156691,446,157137,14.26,Uttar Pradesh,Jaunpur,73
4,SARFARAZ AHMAD,Independent,2750,-,2750,0.25,Uttar Pradesh,Jaunpur,73
5,ASHOK SINGH,Samaj Vikas Kranti Party,2749,6,2755,0.25,Uttar Pradesh,Jaunpur,73
6,JIYALAL PRAJAPATI,Bhagidari Party(P),2232,3,2235,0.2,Uttar Pradesh,Jaunpur,73
7,SHRIPATI MAURYA,Independent,2091,3,2094,0.19,Uttar Pradesh,Jaunpur,73
8,SHAH ALAM,Apna Dal (Kamerawadi),2003,-,2003,0.18,Uttar Pradesh,Jaunpur,73
9,FULACHANDR,Moulik Adhikar Party,1632,1,1633,0.15,Uttar Pradesh,Jaunpur,73
10,KRIPASHANKAR C PANDEY,Independent,1446,1,1447,0.13,Uttar Pradesh,Jaunpur,73
11,GOVIND LAL,Independent,1387,2,1389,0.13,Uttar Pradesh,Jaunpur,73
12,RAM PYARE,Socialist Unity Centre Of India (COMMUNIST),1160,1,1161,0.11,Uttar Pradesh,Jaunpur,73
13,NISHA PATEL,Sardar Patel Siddhant Party,1125,3,1128,0.1,Uttar Pradesh,Jaunpur,73
14,BHARAT RAM,Pachchasi Parivartan Samaj Party,802,-,802,0.07,Uttar Pradesh,Jaunpur,73
15,NOTA,None of the Above,6301,28,6329,0.57,Uttar Pradesh,Jaunpur,73
