S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,SATISH KUMAR GAUTAM,Bharatiya Janata Party,500453,1381,501834,44.28,Uttar Pradesh,Aligarh
2,BIJENDRA SINGH,Samajwadi Party,485588,599,486187,42.9,Uttar Pradesh,Aligarh
3,HITENDRA KUMAR ALIAS BUNTY UPADHYAY,Bahujan Samaj Party,123770,159,123929,10.93,Uttar Pradesh,Aligarh
4,GYANI RAM,Independent,3795,4,3799,0.34,Uttar Pradesh,Aligarh
5,SATISH KUMAR,Independent,3553,8,3561,0.31,Uttar Pradesh,Aligarh
6,SATISH KUMAR,Swatantra Jantaraj Party,1647,1,1648,0.15,Uttar Pradesh,Aligarh
7,MANOJ KUMAR ALIAS MANOJ LODHI,Saman Adhikar Party,1434,6,1440,0.13,Uttar Pradesh,Aligarh
8,KESHAV DEV ALIAS PANDIT KESHAV DEV GAUTAM,Independent,1308,11,1319,0.12,Uttar Pradesh,Aligarh
9,SURENDRA,Moulik Adhikar Party,1175,3,1178,0.1,Uttar Pradesh,Aligarh
10,RAJESH KUMAR,Independent,1053,3,1056,0.09,Uttar Pradesh,Aligarh
11,DILEEP SHARMA AD.,Independent,952,3,955,0.08,Uttar Pradesh,Aligarh
12,MAHESH CHANDRA SHARMA,Independent,733,3,736,0.06,Uttar Pradesh,Aligarh
13,RAJ KUMAR,Rashtriya Shoshit Samaj Party,407,5,412,0.04,Uttar Pradesh,Aligarh
14,MANOJ KUMAR SHARMA ADVOCATE,Loktantrik Janshakti Party,371,7,378,0.03,Uttar Pradesh,Aligarh
15,NOTA,None of the Above,4916,18,4934,0.44,Uttar Pradesh,Aligarh
